# from Matsuoka et al, 2011
# Seasonal variability in the light absorption properties of western
# Arctic waters: Parameterization of the individual components
# of absorption for ocean color applications
Wav Achl Bchl
400 0.024452753 -0.333656
405 0.0259036402 -0.340828
410 0.0269980688 -0.342784
415 0.0278809647 -0.346696
420 0.0283348727 -0.348652
425 0.0287346965 -0.349304
430 0.0294663709 -0.353216
435 0.0300404559 -0.349956
440 0.0298 -0.348
445 0.0277635674 -0.35452
450 0.026482928 -0.355172
455 0.0255962315 -0.353868
460 0.0251898222 -0.355824
465 0.0246396792 -0.353868
470 0.023849555 -0.361692
475 0.0223128403 -0.361692
480 0.0212966898 -0.366256
485 0.0202343281 -0.362344
490 0.0192130133 -0.360388
495 0.0176111678 -0.353216
500 0.0163679076 -0.349956
505 0.0148075087 -0.346696
510 0.013822035 -0.348652
515 0.0125630396 -0.348652
520 0.0116329979 -0.348652
525 0.010607219 -0.352564
530 0.0099134673 -0.348652
535 0.0089644934 -0.33822
540 0.0082875287 -0.324528
545 0.0074322292 -0.334308
550 0.0066572885 -0.333004
555 0.0060005367 -0.342784
560 0.0053935211 -0.329744
565 0.0050128861 -0.346044
570 0.0047971244 -0.339524
575 0.0047713687 -0.324528
580 0.0046472553 -0.33496
585 0.0047167747 -0.333656
590 0.0046645928 -0.3317
595 0.0044851911 -0.342784
600 0.0044668628 -0.35778
605 0.0043166974 -0.33496
610 0.004516068 -0.322572
615 0.0047838569 -0.325832
620 0.0049746916 -0.321268
625 0.0050628558 -0.308228
630 0.0052529312 -0.320616
635 0.0054829977 -0.321268
640 0.0057640166 -0.326484
645 0.0056428802 -0.330396
650 0.0057499363 -0.306272
655 0.0064675615 -0.287364
660 0.0080063841 -0.278888
665 0.0109054772 -0.270412
670 0.012701274 -0.286712
675 0.0130292529 -0.294536
680 0.011413798 -0.30236
685 0.0072457813 -0.323876
690 0.004586935 -0.359084
695 0.0026155153 -0.372776
700 0.0015894436 -0.445148
